nom;mode;operateur
EX 93;Bus;Keolis Roissy Pays de France Ouest
Gbus;Bus;Keolis Roissy Pays de France Ouest
N61;Bus;RATP
2176;Bus;Keolis Roissy Pays de France Est
R117;Bus;Keolis Roissy Pays de France Ouest
R1;Bus;Keolis Roissy Pays de France Ouest
R2;Bus;Keolis Roissy Pays de France Ouest
R3;Bus;Keolis Roissy Pays de France Ouest
R4;Bus;Keolis Roissy Pays de France Ouest
R5;Bus;Keolis Roissy Pays de France Ouest
N62;Bus;RATP
N32;Bus;RATP
N45;Bus;RATP
N43;Bus;RATP
N22;Bus;RATP
N63;Bus;RATP
N53;Bus;RATP
N71;Bus;RATP
N41;Bus;RATP
N35;Bus;RATP
N01;Bus;RATP
N02;Bus;RATP
N11;Bus;RATP
N16;Bus;RATP
N15;Bus;RATP
N14;Bus;RATP
N13;Bus;RATP
N12;Bus;RATP
N122;Bus;Transdev Sud Yvelines
N153;Bus;Transdev Boucle des Lys
1;Bus;Keolis Grand Paris Vallée de la Marne
2;Bus;Keolis Grand Paris Vallée de la Marne
5;Bus;Keolis Grand Paris Vallée de la Marne
5410;Bus;RD Mantois
Filéo OTH;Bus;Keolis Roissy Pays de France Ouest
Filéo SAR;Bus;Keolis Roissy Pays de France Ouest
95-34;Bus;Transdev Vexin
95-35;Bus;Transdev Vexin
Filéo GSV;Bus;Keolis Roissy Pays de France Ouest
